"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"If successful, this could be a total game-changer. 

https://t.co/R08yWIZlCI #flu #vaccines",FALSE,0,,2019-03-04 19:20:47,FALSE,,"1102650111446994946",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RobynCorrell",0,FALSE,FALSE,,
"Widespread #flu activity is still being reported by 49 states and Puerto Rico. https://t.co/Me8DCTK5yT",FALSE,0,,2019-03-04 19:12:01,FALSE,,"1102647904404156416",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","sambucolusa",0,FALSE,FALSE,,
"What is aspiration? https://t.co/jDzYEGfMRv @mnt_flu #flu https://t.co/Am9iEyFHeK",FALSE,0,,2019-03-04 19:10:06,FALSE,,"1102647423447515136",,"<a href=""http://www.medicalnewstoday.com"" rel=""nofollow"">MedicalNewsToday</a>","mnt_flu",0,FALSE,FALSE,,
"Another way people are using Under the Weather<U+00AE> Pods <U+2013><U+2013> to keep from being under the #weather. <U+0001F606> #undertheweather<U+2026> https://t.co/KL3xh3d3XN",FALSE,6,,2019-03-04 19:04:10,TRUE,,"1102645930082340871",,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","UNDERtWEATHER",0,FALSE,FALSE,,
"There are still weeks of #flu activity remaining<U+2014>which means there is still time to get a flu shot! Find a flu shot<U+2026> https://t.co/1HDtVq1Lw3",FALSE,2,,2019-03-04 19:00:00,TRUE,,"1102644881242157061",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","PAHealthDept",6,FALSE,FALSE,,
"@AlanFreestone @TheKidKidDoc 1 in 1Mil.? 
x127Mil. #flu vaccine doses every year = ~127 people with injury 
x8.5Mil<U+2026> https://t.co/dvbY8VB3C8",FALSE,0,"kuriousmind93",2019-03-04 18:52:58,TRUE,"1102642435551825921","1102643110977458176","958432492847095808","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kuriousmind93",0,FALSE,FALSE,,
"My man cold is in full effect!
#mancold #Parenting #dadlife #parenthood #dad #sickday #flu #parentinglife https://t.co/mWNgWeywhE",FALSE,3,,2019-03-04 18:41:11,FALSE,,"1102640146783109120",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dadvshumanity",1,FALSE,FALSE,,
"Homemade chicken noodle soup and homemade #elderberrysyrup for my baby boy since this flu got him down<U+2026> https://t.co/ZsX8RR7WeB",FALSE,0,,2019-03-04 18:35:49,TRUE,,"1102638797081202688",,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","FabStarr55",0,FALSE,FALSE,,
"Follow @CDCFlu for #fluseason updates and tips to protect yourself and your family from #flu.<U+2026> https://t.co/HjQ4Yk0NrR",FALSE,42,,2019-03-04 18:27:01,TRUE,,"1102636579477164032",,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","CDCgov",29,FALSE,FALSE,,
"If you have the #flu during a big #snow storm what to do? Make a big teapot of Salabat, the #Filipino ginger #tea.<U+2026> https://t.co/0SfHuuvSVp",FALSE,0,,2019-03-04 18:25:45,TRUE,,"1102636260970168326",,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BettyAnnQuirino",0,FALSE,FALSE,,
"#DidYouKnow that there's new technology available to help diagnose the flu faster? Find out more about it, plus mor<U+2026> https://t.co/1ECzVufjLa",FALSE,1,,2019-03-04 18:21:59,TRUE,,"1102635312252100608",,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","faithhealthhome",0,FALSE,FALSE,,
"We're approaching #spring, but not the peak of #flu season yet. In fact, #FluGuy says there's another strain of the<U+2026> https://t.co/DMhtfa6ZgL",FALSE,1,,2019-03-04 18:21:57,TRUE,,"1102635304618479616",,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","DHSWI",1,FALSE,FALSE,,
